NUMERO,LOCALIDADE,ESTADO,PAIS,SP,LogLM,LogBM1,LogLIF,LogBFI,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogBOC,LogLPB,LogBI,LogLI,LogLB,LM,BM1,LIF,BFI,BIT,BP,LN,BN,LIB,BB,BZP,BOC,LPB,BI,LI,LB,LAT,LONG,LD1,LD2,LD3,LD4,LD5
MN 67194,Sæo Paulo,Sao Paulo,Brasil,A,1.989243274,0.871293366,2.014903021,1.01523068,1.249901736,2.149433913,2.71866038,1.345472367,1.512927012,2.821973947,1.663926098,2.227861547,2.223541886,2.422144328,1.026041596,2.7047113,7.31,2.39,7.5,2.76,3.49,8.58,15.16,3.84,4.54,16.81,5.28,9.28,9.24,11.27,2.79,14.95,-23.55,-46.63,-4.251562103,-1.069840924,-0.073735741,1.089367367,-0.548637317
MN 67195,Sæo Paulo,Sao Paulo,Brasil,A,1.935859813,0.815364813,2.008214032,0.978326123,1.278152203,2.111424588,2.629728234,1.383791231,1.568615918,2.796671393,1.570697084,2.104134154,2.118662255,2.405141681,0.947789399,2.646883766,6.93,2.26,7.45,2.66,3.59,8.26,13.87,3.99,4.8,16.39,4.81,8.2,8.32,11.08,2.58,14.11,-23.55,-46.63,-2.932935262,-0.106661809,0.889078654,0.509298181,-1.138556295
MN 67196,Sæo Paulo,Sao Paulo,Brasil,A,2.050270164,0.858661619,1.906575144,0.920282753,1.217875709,2.179286877,2.712042222,1.32175584,1.583093937,2.818995095,1.688249093,2.181546765,2.291524146,2.492378665,1.16315081,2.778819272,7.77,2.36,6.73,2.51,3.38,8.84,15.06,3.75,4.87,16.76,5.41,8.86,9.89,12.09,3.2,16.1,-23.55,-46.63,-4.871440325,0.663071646,0.828188183,0.349991972,0.923849435
MN 67197,Sæo Paulo,Sao Paulo,Brasil,A,1.960094784,0.88376754,2.02287119,0.966983846,1.181727195,2.152924318,2.697326238,1.244154594,1.506297154,2.714032273,1.621366483,2.113842968,2.232162629,2.430098413,0.993251773,2.664446564,7.1,2.42,7.56,2.63,3.26,8.61,14.84,3.47,4.51,15.09,5.06,8.28,9.32,11.36,2.7,14.36,-23.55,-46.63,-3.089474797,1.360177985,-1.703166772,-0.100623092,-0.635064355
MN 67198,Sæo Paulo,Sao Paulo,Brasil,A,1.967112357,0.824175443,2.012232792,0.966983846,1.249901736,2.199444334,2.800325477,1.413423029,1.60341984,2.779440197,1.646733697,2.131796772,2.321406847,2.376764491,1.252762968,2.708050201,7.15,2.28,7.48,2.63,3.49,9.02,16.45,4.11,4.97,16.11,5.19,8.43,10.19,10.77,3.5,15,-23.55,-46.63,-4.010693848,-0.034897694,-0.422137581,0.070920986,-0.158363555
MN 67200,Sæo Paulo,Sao Paulo,Brasil,A,1.989243274,0.862889955,1.961502244,0.943905899,1.278152203,2.123458427,2.691243083,1.340250423,1.420695788,2.765060456,1.593308531,2.178155015,2.222459049,2.422144328,1.105256831,2.678278043,7.31,2.37,7.11,2.57,3.59,8.36,14.75,3.82,4.14,15.88,4.92,8.83,9.23,11.27,3.02,14.56,-23.55,-46.63,-4.219692619,-1.357991588,0.201316994,0.306298788,-1.418139612
MN 67201,Sæo Paulo,Sao Paulo,Brasil,A,1.972691172,0.815364813,1.986503546,1.10856262,1.181727195,2.162172939,2.737609003,1.252762968,1.517322624,2.738256043,1.593308531,2.086913557,2.200552367,2.358965426,0.940007258,2.691243083,7.19,2.26,7.29,3.03,3.26,8.69,15.45,3.5,4.56,15.46,4.92,8.06,9.03,10.58,2.56,14.75,-23.55,-46.63,-2.765924389,0.111227241,-1.424002043,0.255420029,-0.335478192
MN 67203,Sæo Paulo,Sao Paulo,Brasil,A,2.039920784,0.828551818,2.074429,1.011600912,1.17557333,2.107786015,2.694627181,1.172482137,1.583093937,2.7631695,1.530394705,2.034705648,2.143589362,2.367436065,1.118414916,2.670002133,7.69,2.29,7.96,2.75,3.24,8.23,14.8,3.23,4.87,15.85,4.62,7.65,8.53,10.67,3.06,14.44,-23.55,-46.63,-1.35676527,0.0231772,-0.664621589,0.115562275,0.899603383
MN 67211,Sæo Paulo,Sao Paulo,Brasil,A,2.012232792,0.90016135,2.064327904,1.064710737,1.32175584,2.202764758,2.708050201,1.442201993,1.456286733,2.770085592,1.646733697,2.123458427,2.240709689,3.174714929,2.423031246,2.708050201,7.48,2.46,7.88,2.9,3.75,9.05,15,4.23,4.29,15.96,5.19,8.36,9.4,23.92,11.28,15,-23.55,-46.63,-5.763149417,-1.851130753,-0.042351896,-2.483651166,-0.040267634
MN 67217,Sæo Paulo,Sao Paulo,Brasil,A,1.975468951,0.792992516,2.048982334,1.105256831,1.184789985,2.129421474,2.693951277,1.30833282,1.519513205,2.314513664,1.078409581,2.158714723,2.209372711,2.346601978,1.050821625,2.669309373,7.21,2.21,7.76,3.02,3.27,8.41,14.79,3.7,4.57,10.12,2.94,8.66,9.11,10.45,2.86,14.43,-23.55,-46.63,-1.643432245,-1.640474291,-4.274821942,2.655350959,-0.424868319
