Individual	Species	CSM	LM1	CFI	LFI	LPI	LPA	CNA	LNA	LIO	LCC	LPZ	LCO	CPP	LIP	CIP
45	H	0.042756315	0.022330058	-0.020632363	-0.006465367	0.02255418	0.036165475	-0.027015283	0.03415775	0.082573844	-0.002964915	-0.03420282	0.04846336	0.033806812	-0.28687742	-0.022030657
46	H	0.000177585	-0.014588678	0.064484344	0.109158713	0.018970747	-0.006837429	0.069311111	0.094965713	0.082144218	0.032018601	-0.009640556	0.032710965	-0.013665303	0.017055601	-0.184182391
47	H	0.000405371	0.025689806	0.073508644	0.000587498	0.057078327	-0.030172428	0.026660134	-0.04016542	-0.017430516	-0.036662419	0.02698513	0.004179136	-0.067723207	-0.015489937	0.169849556
48	H	0.016551798	-0.035101929	0.081515719	0.199664071	0.073127764	-0.024748788	0.026465836	-0.1399587	-0.023256212	-0.004368438	-0.045337344	-0.021129148	-0.026463803	-0.09319421	0.037870444
49	H	-0.013583094	0.002640505	0.133041457	0.121147602	0.036916358	-0.079816765	0.021290174	0.054346008	-0.043337729	-0.013429872	-0.040896062	-0.06781824	-0.073065263	-0.053307663	-0.012355702
50	H	-0.001999494	0.042605285	0.045895662	0.075171839	0.216493639	-0.000440636	0.103792341	-0.135941327	0.035478334	0.014579581	0.028542409	0.00029854	0.072436456	-0.088644586	-0.026206962
51	H	0.047703225	0.033722602	-0.007449618	0.050473553	0.066803857	0.034286694	0.054685314	0.022225796	0.016707946	0.005016322	0.022298678	0.040767485	0.02370209	0.021136971	-0.076650434
52	H	0.009504063	0.023218232	-0.005295453	0.157718173	0.159226295	-0.007284381	0.143859142	-0.096279137	-0.059880768	-0.051670386	0.024951899	0.013716786	0.061214829	0.043889892	0.096289483
53	H	0.034359045	-0.027789786	-0.018434974	0.000127074	0.094107404	-0.038725509	0.104770719	0.165297778	0.012884406	-0.026636344	0.004859066	0.008008467	0.003400696	0.087960336	0.06592937
54	H	-0.051569704	-0.00878929	-0.016196751	0.037700936	0.047324616	-0.034509198	0.053204401	0.020037901	0.037238706	-0.009324763	0.013853135	-0.036995467	-0.003219837	-0.034818039	-0.154440136
55	H	0.005038025	-0.021843441	0.084109448	0.05813877	0.199321205	-0.000473221	0.102426302	-0.029105386	-0.154729659	0.008921273	0.104876519	0.011417385	0.076314915	0.050851268	0.050923199
56	H	-0.011282235	0.050764418	0.055908119	0.016232233	0.215033407	0.050629955	0.095868783	-0.055659963	0.027127307	-0.013724307	0.09886496	0.00102657	0.011495445	0.114956354	0.127198801
57	H	0.010288621	-0.023821993	0.118065678	0.099133206	0.130186494	0.010712793	0.070715978	0.076126477	0.01363785	-0.015910334	0.026251798	-0.027832386	0.025987113	-0.051214677	0.018209102
58	H	0.068993608	0.134939208	0.021807186	0.021501233	0.099926288	0.104653044	0.082692653	0.086549465	3.13E-05	0.040690191	0.104323835	0.014964434	0.082810612	0.086078977	0.130643986
59	H	-0.00697886	0.013664611	-0.015992943	-0.081918353	0.031037504	-0.001198474	0.021026815	0.036457948	0.018255395	0.002382331	0.031534287	-0.009568077	0.04102473	0.009273398	0.025120976
60	I	-0.02764219	-0.067995648	0.036855782	-0.00548615	0.009431167	-0.070533833	-0.013420945	0.021818665	0.036145438	0.012185217	-0.091844298	-0.02832983	-0.051389973	0.03834554	0.328871729
61	I	-0.068854297	-0.147877014	0.088606702	0.070578198	0.000943188	-0.067600289	0.025852397	0.11002597	0.033761991	-0.031500229	-0.11106289	0.023545138	-0.068170185	-0.04348526	0.094360673
62	I	-0.059019537	-0.062725358	-0.047705719	-0.055075564	0.025374276	-0.038613916	0.085332432	0.017642356	-0.093067598	-0.061930123	0.042383316	-0.027293138	0.067799692	-0.007752803	-0.127234301
63	I	-0.044837114	-0.044137551	0.029067701	-0.020681924	-0.026762519	-0.032939604	-0.106060462	0.062966578	-0.025310285	-0.030114239	-0.05187978	-0.018231499	-0.013434991	0.01243976	0.000843136
64	I	-0.086370272	-0.099749525	-0.09052116	-0.19052936	0.002323354	-0.107674766	-0.086730146	-0.034572945	-0.049275164	-0.018680502	-0.078457204	-0.072586823	-0.098200228	-0.074434198	-0.081200145
65	I	-0.026563326	-0.05350113	0.025634902	-0.007343574	0.072278187	-0.017265748	-0.033477508	0.092284546	0.029281526	-0.040473748	-0.025259819	0.016604786	-0.111948969	0.117472802	0.165288357
66	I	-0.075527165	-0.060049232	-0.017261027	-0.047017539	0.012437088	-0.067862713	-0.015205972	0.020273745	0.124393115	0.014293304	0.016459094	-0.022930264	-0.043403205	-0.108379656	-0.05830583
67	I	-0.024382176	-0.028081542	0.05567266	0.0098162	-0.172930391	-0.055706279	-0.025897747	-0.127574895	-0.035874493	0.010939142	-0.138447547	-0.02033196	-0.043335882	0.005109021	-0.027843691
68	I	-0.101497609	-0.10596257	-0.045399781	-0.089558405	-0.098602435	-0.077206954	-0.014445469	-0.086098117	-0.049163024	-0.04084878	-0.019620229	-0.017742502	-0.059798709	-0.009825214	0.30896763
69	I	0.000805434	-0.036336148	0.02757157	0.025315528	0.019088217	-0.091519478	0.026929437	-0.008538458	0.039092856	-0.017696437	-0.069789955	-0.061475062	-0.010616315	0.043874074	0.163560315
70	I	0.057223161	-0.012120381	-0.061404684	-0.033454663	-0.006423924	-0.061377913	-0.046678779	0.032605661	-0.027950546	0.018355834	0.008784857	-0.00102306	0.080000019	-0.030830815	0.113566726
71	I	-0.041685802	-0.160171006	-0.067022817	-0.026854443	-0.026288439	-0.044671434	-0.078770184	-0.000117849	0.066923949	-0.001002725	-0.042932986	-0.016717463	-0.027481879	0.021705307	0.032773881
72	I	-0.022909682	-0.033292372	0.017688997	-0.044646958	-0.136536196	-0.057710685	-0.125155695	-0.078611382	0.003656596	0.010881892	-0.041643597	-0.026267244	-0.124224843	-0.054588221	-0.510245757
73	I	0.066067136	-0.024193026	-0.187536989	-0.013329327	-0.114566475	-0.023145211	-0.050631275	0.019060042	0.019751628	0.083039037	-0.030014453	-0.040071647	0.048635904	0.009252579	0.378555149
74	I	-0.003535182	-0.001366432	0.070907562	0.028040408	0.061243229	-0.051842328	0.027231091	0.025876972	-0.045092586	0.007308847	-0.066826007	0.045464022	0.08444714	-0.08590368	-0.007040069
75	I	-0.049913283	0.018380713	0.046361438	-0.131511084	-0.026393685	0.004349342	-0.002810191	-0.035054737	-0.017938779	-0.03723623	-0.007401187	0.023285927	-0.055956059	-0.137901154	-0.117918264
76	I	0.01712893	0.010918846	-0.000864657	-0.097207112	0.077181299	-0.012022106	-0.009345407	0.011598974	-0.024120155	0.017167303	0.045256392	0.010862318	0.034488166	-0.150054419	-0.531149425
